,Timesteps,Left IRs,Right IRs,Left Motor Speeds,Right Motor Speeds
0,0,658,890,40,0
1,1,700,888,40,0
2,2,720,883,40,0
3,3,727,874,40,0
4,4,730,839,40,0
5,5,734,800,40,0
6,6,737,817,40,0
7,7,739,816,40,0
8,8,742,807,40,0
9,9,745,791,40,0
10,10,749,775,0,40
11,11,750,758,0,40
12,12,746,746,0,40
13,13,730,727,0,40
14,14,725,735,0,40
15,15,724,737,0,40
16,16,739,724,0,40
17,17,740,739,0,40
18,18,731,744,0,40
19,19,728,757,0,40
20,20,743,766,0,40
21,21,762,760,0,40
22,22,768,766,0,40
23,23,766,783,40,0
24,24,762,785,40,0
25,25,761,777,0,40
26,26,759,791,40,0
27,27,757,803,40,0
28,28,756,799,40,0
29,29,755,788,40,0
30,30,753,782,40,0
31,31,750,773,0,40
32,32,750,761,0,40
33,33,750,769,0,40
34,34,750,760,0,40
35,35,753,760,0,40
36,36,751,774,0,40
37,37,751,785,40,0
38,38,749,774,0,40
39,39,739,788,40,0
40,40,734,808,40,0
41,41,733,781,40,0
42,42,739,767,0,40
43,43,746,773,0,40
44,44,747,767,0,40
45,45,741,771,0,40
46,46,737,788,40,0
47,47,733,793,40,0
48,48,738,775,0,40
49,49,741,768,0,40
50,50,745,762,0,40
51,51,747,784,40,0
52,52,745,779,0,40
53,53,746,801,40,0
54,54,745,802,40,0
55,55,742,799,40,0
56,56,740,804,40,0
57,57,742,809,40,0
58,58,749,801,40,0
59,59,754,796,40,0
60,60,758,779,0,40
61,61,756,779,0,40
62,62,752,773,0,40
63,63,749,772,0,40
64,64,750,780,0,40
65,65,749,789,40,0
66,66,751,789,40,0
67,67,752,791,40,0
68,68,751,775,0,40
69,69,751,771,0,40
70,70,755,788,40,0
71,71,753,779,0,40
72,72,750,776,0,40
73,73,745,782,40,0
74,74,748,807,40,0
75,75,754,791,40,0
76,76,753,774,0,40
77,77,755,783,40,0
78,78,751,778,0,40
79,79,745,780,0,40
80,80,742,781,40,0
81,81,742,767,0,40
82,82,743,761,0,40
83,83,742,765,0,40
84,84,745,782,40,0
85,85,749,792,40,0
86,86,748,773,0,40
87,87,751,801,40,0
88,88,756,810,40,0
89,89,761,803,40,0
90,90,761,797,40,0
91,91,756,778,0,40
92,92,753,761,0,40
93,93,751,759,0,40
94,94,748,749,0,40
95,95,748,778,0,40
96,96,739,779,0,40
97,97,736,787,40,0
98,98,735,811,40,0
99,99,741,816,40,0
100,100,743,827,40,0
101,101,743,811,40,0
102,102,743,803,40,0
103,103,742,799,40,0
104,104,741,792,40,0
105,105,742,793,40,0
106,106,744,798,40,0
107,107,743,792,40,0
108,108,743,788,40,0
109,109,748,772,0,40
110,110,749,756,0,40
111,111,750,742,0,40
112,112,750,734,0,40
113,113,750,752,0,40
114,114,747,766,0,40
115,115,746,768,0,40
116,116,747,784,40,0
117,117,749,785,40,0
118,118,750,810,40,0
119,119,748,802,40,0
120,120,744,807,40,0
121,121,740,796,40,0
122,122,738,764,0,40
123,123,740,777,0,40
124,124,746,785,40,0
125,125,749,790,40,0
126,126,752,785,40,0
127,127,752,775,0,40
128,128,751,773,0,40
129,129,751,766,0,40
130,130,748,762,0,40
131,131,742,773,0,40
132,132,739,786,40,0
133,133,741,787,40,0
